"date","location","word","value"
2020-02-26,"Alabama","favorite",2
2020-02-26,"Alabama","free",1
2020-02-27,"Alabama","negative",-2
2020-05-13,"Alabama","ignorance",-2
2020-06-13,"Alabama","incompetent",-2
2020-06-13,"Alabama","impotent",-2
2020-06-13,"Alabama","killed",-3
2020-07-01,"Alabama","blame",-2
2020-07-01,"Alabama","resign",-1
2020-07-01,"Alabama","stop",-1
2020-07-01,"Alabama","killing",-3
2020-07-01,"Alabama","negative",-2
2020-07-01,"Alabama","die",-3
2020-07-01,"Alabama","liar",-3
2020-07-01,"Alabama","carefully",2
2020-07-01,"Alabama","blames",-2
2020-07-09,"Alabama","loving",2
2020-07-09,"Alabama","tender",2
2020-07-09,"Alabama","care",2
2020-07-12,"Alabama","sick",-2
2020-07-12,"Alabama","died",-3
2020-07-12,"Alabama","deceit",-3
2020-07-12,"Alabama","failed",-2
2020-07-12,"Alabama","protect",1
2020-07-12,"Alabama","vulnerable",-2
2020-07-12,"Alabama","hell",-4
2020-07-12,"Alabama","died",-3
2020-07-12,"Alabama","sick",-2
2020-07-12,"Alabama","god",1
2020-07-12,"Alabama","fear",-2
2020-08-14,"Alabama","worry",-3
2020-08-14,"Alabama","effective",2
2020-08-14,"Alabama","save",2
2020-08-14,"Alabama","costly",-2
2020-08-31,"Alabama","opportunity",2
2020-09-17,"Alabama","straight",1
2020-09-17,"Alabama","negative",-2
2020-10-04,"Alabama","negative",-2
2020-10-16,"Alabama","hope",2
2020-10-16,"Alabama","bad",-3
2020-10-16,"Alabama","hope",2
2020-10-16,"Alabama","happiness",3
2020-10-16,"Alabama","exposed",-1
2020-10-16,"Alabama","fear",-2
2020-10-16,"Alabama","fear",-2
2020-03-09,"Alaska","positive",2
2020-03-09,"Alaska","shares",1
2020-04-17,"Alaska","helping",2
2020-04-17,"Alaska","lucky",3
2020-04-17,"Alaska","win",4
2020-04-17,"Alaska","faith",1
2020-04-17,"Alaska","bless",2
2020-06-01,"Alaska","lol",3
2020-06-01,"Alaska","ignore",-1
2020-06-25,"Alaska","insane",-2
2020-09-11,"Alaska","murder",-2
2020-09-11,"Alaska","recommended",2
2020-09-30,"Alaska","helps",2
2020-02-11,"Arizona","loved",3
2020-02-11,"Arizona","demand",-1
2020-02-14,"Arizona","healthy",2
2020-02-14,"Arizona","sick",-2
2020-02-19,"Arizona","disruption",-2
2020-02-19,"Arizona","prepared",1
2020-02-24,"Arizona","huge",1
2020-02-24,"Arizona","top",2
2020-02-24,"Arizona","damn",-4
2020-02-24,"Arizona","fool",-2
2020-02-24,"Arizona","killing",-3
2020-02-24,"Arizona","nonsense",-2
2020-02-24,"Arizona","tears",-2
2020-02-24,"Arizona","cried",-2
2020-02-24,"Arizona","worrying",-3
2020-02-24,"Arizona","protect",1
2020-02-24,"Arizona","abuse",-3
2020-02-29,"Arizona","worthless",-2
2020-02-29,"Arizona","fails",-2
2020-02-29,"Arizona","cut",-1
2020-02-29,"Arizona","growth",2
2020-03-13,"Arizona","safe",1
2020-03-13,"Arizona","join",1
2020-03-13,"Arizona","desperately",-3
2020-03-13,"Arizona","worried",-3
2020-03-13,"Arizona","super",3
2020-03-13,"Arizona","worried",-3
2020-03-13,"Arizona","safe",1
2020-03-13,"Arizona","join",1
2020-03-13,"Arizona","desperately",-3
2020-03-17,"Arizona","free",1
2020-03-18,"Arizona","top",2
2020-03-24,"Arizona","scams",-2
2020-03-27,"Arizona","dead",-3
2020-03-27,"Arizona","lost",-3
2020-03-27,"Arizona","death",-2
2020-03-27,"Arizona","dead",-3
2020-03-27,"Arizona","fight",-1
2020-03-27,"Arizona","dead",-3
2020-03-27,"Arizona","lost",-3
2020-03-29,"Arizona","fool",-2
2020-03-29,"Arizona","care",2
2020-03-29,"Arizona","destroyed",-3
2020-03-29,"Arizona","destroys",-3
2020-03-29,"Arizona","gross",-2
2020-03-29,"Arizona","improve",2
2020-03-29,"Arizona","combat",-1
2020-03-29,"Arizona","failure",-2
2020-03-29,"Arizona","gross",-2
2020-03-29,"Arizona","improve",2
2020-03-29,"Arizona","combat",-1
2020-03-29,"Arizona","failure",-2
2020-04-06,"Arizona","devastate",-2
2020-04-12,"Arizona","recommend",2
2020-04-14,"Arizona","blocked",-1
2020-04-14,"Arizona","poor",-2
2020-04-14,"Arizona","dear",2
2020-04-15,"Arizona","free",1
2020-04-17,"Arizona","shit",-4
2020-04-17,"Arizona","hiding",-1
2020-04-17,"Arizona","tense",-2
2020-04-17,"Arizona","reached",1
2020-04-17,"Arizona","trust",1
2020-04-17,"Arizona","flu",-2
2020-04-17,"Arizona","tense",-2
2020-04-17,"Arizona","flu",-2
2020-04-28,"Arizona","affected",-1
2020-04-28,"Arizona","infected",-2
2020-04-28,"Arizona","increase",1
2020-04-28,"Arizona","chance",2
2020-04-28,"Arizona","exposing",-1
2020-05-05,"Arizona","exposes",-1
2020-05-05,"Arizona","growing",1
2020-05-05,"Arizona","top",2
2020-05-05,"Arizona","darkest",-2
2020-05-05,"Arizona","fails",-2
2020-05-25,"Arizona","emergency",-2
2020-05-25,"Arizona","emergency",-2
2020-05-25,"Arizona","agree",1
2020-05-25,"Arizona","admit",-1
2020-05-25,"Arizona","lol",3
2020-05-25,"Arizona","hated",-3
2020-05-25,"Arizona","pay",-1
2020-05-26,"Arizona","died",-3
2020-05-26,"Arizona","killed",-3
2020-05-29,"Arizona","fake",-3
2020-05-29,"Arizona","fake",-3
2020-05-29,"Arizona","fake",-3
2020-05-29,"Arizona","sick",-2
2020-05-29,"Arizona","sick",-2
2020-05-29,"Arizona","die",-3
2020-05-29,"Arizona","wrong",-2
2020-05-29,"Arizona","worry",-3
2020-05-29,"Arizona","hurting",-2
2020-06-01,"Arizona","ass",-4
2020-06-01,"Arizona","died",-3
2020-06-01,"Arizona","infected",-2
2020-06-01,"Arizona","growing",1
2020-06-14,"Arizona","ruined",-2
2020-06-14,"Arizona","killed",-3
2020-06-15,"Arizona","killed",-3
2020-06-17,"Arizona","benefits",2
2020-06-17,"Arizona","stalled",-2
2020-06-26,"Arizona","fucking",-4
2020-06-26,"Arizona","stop",-1
2020-06-26,"Arizona","shit",-4
2020-06-26,"Arizona","shit",-4
2020-06-26,"Arizona","crisis",-3
2020-06-29,"Arizona","idiot",-3
2020-07-01,"Arizona","cute",2
2020-07-01,"Arizona","irresistible",2
2020-07-01,"Arizona","trouble",-2
2020-07-01,"Arizona","gain",2
2020-07-04,"Arizona","yeah",1
2020-07-04,"Arizona","amazing",4
2020-07-04,"Arizona","hoax",-2
2020-07-04,"Arizona","pretty",1
2020-07-07,"Arizona","demand",-1
2020-07-08,"Arizona","fraud",-4
2020-07-08,"Arizona","hoax",-2
2020-07-08,"Arizona","illegal",-3
2020-07-08,"Arizona","responsible",2
2020-07-08,"Arizona","preventing",-1
2020-07-08,"Arizona","positive",2
2020-07-08,"Arizona","feeling",1
2020-07-08,"Arizona","fraud",-4
2020-07-08,"Arizona","hoax",-2
2020-07-08,"Arizona","illegal",-3
2020-07-19,"Arizona","true",2
2020-07-19,"Arizona","disruption",-2
2020-07-19,"Arizona","biased",-2
2020-07-19,"Arizona","doubt",-1
2020-07-23,"Arizona","favored",2
2020-07-23,"Arizona","top",2
2020-07-23,"Arizona","saved",2
2020-07-23,"Arizona","prevent",-1
2020-07-23,"Arizona","panic",-3
2020-07-30,"Arizona","denied",-2
2020-07-30,"Arizona","responsible",2
2020-07-30,"Arizona","hoax",-2
2020-07-30,"Arizona","recession",-2
2020-07-30,"Arizona","worse",-3
2020-08-03,"Arizona","wealth",3
2020-08-03,"Arizona","distracted",-2
2020-08-20,"Arizona","fun",4
2020-08-20,"Arizona","breakthrough",3
2020-08-20,"Arizona","sunshine",2
2020-08-25,"Arizona","danger",-2
2020-08-28,"Arizona","criminal",-3
2020-08-28,"Arizona","suffer",-2
2020-08-28,"Arizona","cancer",-1
2020-08-28,"Arizona","struggling",-2
2020-08-28,"Arizona","alive",1
2020-08-28,"Arizona","pay",-1
2020-08-28,"Arizona","lost",-3
2020-08-28,"Arizona","hell",-4
2020-09-02,"Arizona","won",3
2020-09-02,"Arizona","risk",-2
2020-09-04,"Arizona","idiot",-3
2020-09-04,"Arizona","disrespect",-2
2020-09-11,"Arizona","stopped",-1
2020-09-11,"Arizona","hate",-3
2020-09-11,"Arizona","fight",-1
2020-09-11,"Arizona","hate",-3
2020-09-11,"Arizona","kills",-3
2020-09-17,"Arizona","positive",2
2020-09-17,"Arizona","postponed",-1
2020-09-17,"Arizona","negative",-2
2020-09-18,"Arizona","kill",-3
2020-09-18,"Arizona","hard",-1
2020-09-23,"Arizona","ass",-4
2020-09-23,"Arizona","yeah",1
2020-09-24,"Arizona","misinformation",-2
2020-09-25,"Arizona","hope",2
2020-09-25,"Arizona","worried",-3
2020-09-26,"Arizona","criminal",-3
2020-09-26,"Arizona","racism",-3
2020-09-26,"Arizona","violence",-3
2020-09-26,"Arizona","worst",-3
2020-10-01,"Arizona","arrested",-3
2020-10-01,"Arizona","threatening",-2
2020-10-01,"Arizona","kill",-3
2020-10-01,"Arizona","supporters",1
2020-10-01,"Arizona","sick",-2
2020-10-01,"Arizona","winning",4
2020-10-01,"Arizona","warns",-2
2020-10-01,"Arizona","victims",-3
2020-10-08,"Arizona","positive",2
2020-10-18,"Arizona","lost",-3
2020-10-18,"Arizona","support",2
2020-02-09,"Arkansas","immune",1
2020-02-09,"Arkansas","stop",-1
2020-03-13,"Arkansas","failure",-2
2020-03-13,"Arkansas","died",-3
2020-03-13,"Arkansas","manipulating",-1
2020-07-01,"Arkansas","destroy",-3
2020-07-15,"Arkansas","positive",2
2020-07-15,"Arkansas","death",-2
2020-07-15,"Arkansas","wasting",-2
2020-07-15,"Arkansas","combat",-1
2020-08-04,"Arkansas","bad",-3
2020-08-04,"Arkansas","bitch",-5
2020-08-04,"Arkansas","worse",-3
2020-08-04,"Arkansas","worry",-3
2020-02-01,"California","hero",2
2020-02-02,"California","bad",-3
2020-02-02,"California","hard",-1
2020-02-02,"California","united",1
2020-02-02,"California","resolve",2
2020-02-02,"California","crisis",-3
2020-02-02,"California","suffering",-2
2020-02-02,"California","wrong",-2
2020-02-02,"California","stall",-2
2020-02-04,"California","confidence",2
2020-02-06,"California","poor",-2
2020-02-07,"California","screamed",-2
2020-02-07,"California","killed",-3
2020-02-07,"California","laughed",1
2020-02-07,"California","hard",-1
2020-02-07,"California","save",2
2020-02-07,"California","ass",-4
2020-02-07,"California","stupid",-2
2020-02-07,"California","won",3
2020-02-07,"California","lost",-3
2020-02-08,"California","hate",-3
2020-02-08,"California","stop",-1
2020-02-08,"California","matters",1
2020-02-08,"California","destroyed",-3
2020-02-08,"California","hoax",-2
2020-02-10,"California","protect",1
2020-02-11,"California","pay",-1
2020-02-12,"California","devastating",-2
2020-02-12,"California","damage",-3
2020-02-12,"California","badly",-3
2020-02-13,"California","worth",2
2020-02-13,"California","criticizes",-2
2020-02-13,"California","lucky",3
2020-02-14,"California","disaster",-2
2020-02-14,"California","failure",-2
2020-02-14,"California","death",-2
2020-02-14,"California","suffering",-2
2020-02-14,"California","death",-2
2020-02-14,"California","admits",-1
2020-02-14,"California","wrong",-2
2020-02-14,"California","infected",-2
2020-02-14,"California","popular",3
2020-02-14,"California","admits",-1
2020-02-14,"California","wrong",-2
2020-02-14,"California","infected",-2
2020-02-14,"California","failed",-2
2020-02-14,"California","popular",3
2020-02-15,"California","risk",-2
2020-02-15,"California","hug",2
2020-02-15,"California","affected",-1
2020-02-17,"California","enjoy",2
2020-02-17,"California","misery",-2
2020-02-18,"California","denier",-2
2020-02-18,"California","sunshine",2
2020-02-18,"California","wrong",-2
2020-02-19,"California","struggling",-2
2020-02-19,"California","devastated",-2
2020-02-19,"California","funeral",-1
2020-02-22,"California","crisis",-3
2020-02-22,"California","threaten",-2
2020-02-22,"California","natural",1
2020-02-22,"California","threats",-2
2020-02-22,"California","drop",-1
2020-02-22,"California","pseudoscience",-3
2020-02-22,"California","crisis",-3
2020-02-22,"California","threaten",-2
2020-02-22,"California","natural",1
2020-02-22,"California","threats",-2
2020-02-22,"California","drop",-1
2020-02-26,"California","proud",2
2020-02-26,"California","affected",-1
2020-02-26,"California","fight",-1
2020-02-26,"California","support",2
2020-02-26,"California","helps",2
2020-02-26,"California","risk",-2
2020-02-26,"California","honor",2
2020-02-26,"California","join",1
2020-02-26,"California","emergency",-2
2020-02-26,"California","support",2
2020-02-26,"California","spirit",1
2020-02-26,"California","strong",2
2020-02-27,"California","forgotten",-1
2020-02-27,"California","care",2
2020-02-27,"California","hope",2
2020-02-27,"California","helps",2
2020-02-28,"California","collapse",-2
2020-02-28,"California","deficit",-2
2020-02-28,"California","disruption",-2
2020-02-28,"California","mess",-2
2020-02-28,"California","sad",-2
2020-02-28,"California","failed",-2
2020-03-01,"California","helping",2
2020-03-01,"California","stop",-1
2020-03-01,"California","safe",1
2020-03-02,"California","importance",2
2020-03-02,"California","attack",-1
2020-03-02,"California","attacks",-1
2020-03-02,"California","care",2
2020-03-02,"California","matter",1
2020-03-02,"California","kills",-3
2020-03-02,"California","win",4
2020-03-02,"California","battle",-1
2020-03-02,"California","war",-2
2020-03-02,"California","yeah",1
2020-03-02,"California","outraged",-3
2020-03-02,"California","greed",-3
2020-03-02,"California","suffering",-2
2020-03-02,"California","outraged",-3
2020-03-02,"California","greed",-3
2020-03-02,"California","suffering",-2
2020-03-02,"California","kills",-3
2020-03-02,"California","win",4
2020-03-02,"California","battle",-1
